,Menu_Category,Menu_Items,Per_Serve_Size,Energy(kCal),Protein(g),Total_fat(g),Sat_Fat(g),Trans_fat(g),Cholesterols(g),Total_carbohydrate(g),Total_Sugars(g),Added_Sugars(g),Sodium(g)
0,Regular Menu,McVeggie™ Burger,168 g,402.05,10.24,13.83,5.34,0.16,0.00249,56.54,7.9,4.49,0.70613
1,Regular Menu,McAloo Tikki Burger®,146 g,339.52,8.5,11.31,4.27,0.2,0.00147,50.27,7.05,4.07,0.54534
2,Regular Menu,McSpicy™ Paneer Burger,199 g,652.76,20.29,39.45,17.12,0.18,0.02185,52.33,8.35,5.27,1.0745799999999999
3,Regular Menu,Spicy Paneer Wrap,250 g,674.68,20.96,39.1,19.73,0.26,0.04093,59.27,3.5,1.08,1.08746
4,Regular Menu,American Veg Burger,177 g,512.17,15.3,23.45,10.51,0.17,0.02524,56.96,7.85,4.76,1.05124
5,Regular Menu,Veg Maharaja Mac,306 g,832.67,24.17,37.94,16.83,0.28,0.03619,93.84,11.52,6.92,1.52922
6,Regular Menu,Green Chilli Aloo Naan,132 g,356.09,7.91,15.08,6.11,0.24,0.00945,46.36,4.53,1.15,0.5796
7,Regular Menu,Pizza Puff,87 g,228.21,5.45,11.44,5.72,0.09,0.00517,24.79,2.73,0.35,0.39074000000000003
8,Regular Menu,Mc chicken Burger,173 g,400.8,15.66,15.7,5.47,0.16,0.031170000000000003,47.98,5.53,4.49,0.7663300000000001
9,Regular Menu,FILLET-O-FISH Burger,136 g,348.11,15.44,14.16,5.79,0.21,0.03283,38.85,5.58,3.54,0.53054
10,Regular Menu,Mc Spicy Chicken Burger,186 g,451.92,21.46,19.36,7.63,0.18,0.06604,46.08,5.88,4.49,0.92852
11,Regular Menu,Spicy Chicken Wrap,257 g,567.19,23.74,26.89,12.54,0.27,0.08763,57.06,2.52,1.08,1.1523800000000002
12,Regular Menu,Chicken Maharaja Mac,296 g,689.12,34.0,36.69,10.33,0.25,0.08148999999999999,55.39,8.92,6.14,1.85471
13,Regular Menu,American Chicken Burger,165 g,446.95,20.29,22.94,7.28,0.15,0.047630000000000006,38.54,7.48,4.76,1.1322999999999999
14,Regular Menu,Chicken Kebab Burger,138 g,357.05,8.64,14.02,4.84,0.13,0.00151,47.9,5.08,3.49,0.54879
15,Regular Menu,Green Chilli Kebab naan,138 g,230.95,5.67,9.32,3.27,0.19,0.00874,31.06,3.64,1.15,0.41078
16,Regular Menu,Mc Egg Masala Burger,126.2 g,290.42,12.45,12.27,3.64,0.11,0.21309,32.89,4.89,3.64,0.75791
17,Regular Menu,Mc Egg Burger for Happy Meal,123 g,282.98,12.29,12.21,3.63,0.11,0.21309,31.32,4.66,3.64,0.39941000000000004
18,Regular Menu,Ghee Rice with Mc Spicy Fried Chicken 1 pc,325 g,720.3,26.91,29.2,5.08,0.3,0.03132,77.47,3.28,0.35,2.3994899999999997
19,Regular Menu,McSpicy Fried Chicken 1 pc,115 g,248.76,17.33,14.29,2.82,0.06,0.03111,12.7,0.58,0.0,0.87389
20,Regular Menu,4 piece Chicken McNuggets,64 g,169.68,10.03,9.54,4.45,0.06,0.02466,10.5,0.32,0.0,0.31325
21,Regular Menu,6 piece Chicken McNuggets,96 g,254.52,15.04,14.3,6.68,0.1,0.03699,15.74,0.48,0.0,0.46987
22,Regular Menu,9 piece Chicken McNuggets,144 g,381.77,22.56,21.46,10.02,0.14,0.055479999999999995,23.62,0.72,0.0,0.7048099999999999
23,Regular Menu,2 piece Chicken Strips,58 g,164.44,10.17,12.38,11.41,0.06,0.030100000000000002,2.68,0.29,0.0,0.47722000000000003
